"","thr","quantile","scale","shape","len"
"1",0.422141241930254,0.05,0.628524242768199,0.0831957504101073,698
"2",0.41215666687082,0.05,0.623504723207575,0.0639729944078221,719
"3",0.375682183072719,0,0.612488975494172,0.0159359516710827,749
"4",0.375848216546514,0,0.617203016489684,0.0561836154878734,737
"5",0.469010585642874,0.1,0.608641765169163,0.0558745003975463,680
"6",0.429971291984192,0.05,0.586175431024369,0.0699201609985838,700
"7",0.421844541713545,0.05,0.613671799036296,0.061177660462923,723
"8",0.597815570712087,0.25,0.605110998442868,0.0983748882305291,545
"9",0.513227004555086,0.15,0.593419983988332,0.0395477974034041,622
"10",0.739287291496143,0.4,0.528615771746829,0.13832491234665,450
"11",0.466158345871908,0.1,0.598207151725359,0.0621654863719967,694
"12",0.421707682156225,0.05,0.630652550838255,0.0900577845995498,677
"13",0.468536271583781,0.1,0.595693294520474,0.0446946108330937,647
"14",0.586148677444946,0.25,0.612737720266666,0.0352060984034818,543
"15",0.501158530189671,0.15,0.61564624440522,0.0227605306882743,634
"16",0.430012284135025,0.05,0.606722714926807,0.0530625380903387,707
"17",0.509011348138078,0.15,0.553340990035057,0.12000498622569,640
"18",0.42053702017134,0.05,0.585109421998861,0.0333538224174011,711
"19",0.377012889101472,0,0.613447308335173,0.0310061308097779,751
"20",0.49923067723113,0.15,0.622892504155459,0.00578306561350881,630
"21",0.377354130163884,0,0.619878285928301,0.0215927420544353,757
"22",0.540419503428967,0.2,0.59049118441582,0.0733369969653617,604
"23",0.414044540969122,0.05,0.618515469296441,0.0202312585219098,700
"24",0.555427604884977,0.2,0.549576411141153,0.16332867190277,596
"25",0.596211170094936,0.25,0.538306689130196,0.0337625943767477,567
"26",0.498925675609987,0.15,0.611261270465486,0.0607925329532721,640
"27",0.53457808781452,0.2,0.551613086900944,0.143831985668184,611
"28",0.623408308458374,0.3,0.536949181944613,0.155224189828894,526
"29",0.51038336392857,0.15,0.619557447969672,0.0340209397969408,622
"30",0.490738377878783,0.15,0.580523106884031,0.112361032039498,638
"31",0.377007654315714,0,0.689568115304279,-0.0157297961161424,736
"32",0.375921858019191,0,0.645085274310619,0.0252246761346702,746
"33",0.375752513323226,0,0.617259244340814,0.0220212516383078,742
"34",0.578414976419946,0.25,0.563795972602794,0.0839607073692694,564
"35",0.376224446567121,0,0.595505209017964,0.145306412262484,756
