"","thr","scale","shape","len","time","timeX"
"211",0.968742129236676,0.808930177389351,-0.378687606715179,300,0.472455501556396,0.474002599716187
"212",0.0119836567130662,1.05743851153197,-0.309104571392735,1000,0.614033460617065,0.618959903717041
"213",-0.0355048717232832,0.94893646321498,-0.233561981353033,1000,0.423462152481079,0.427853345870972
"214",0.0125278732162506,0.951166904202925,-0.252790137600402,1000,0.416382551193237,0.421267509460449
"215",1.29118408289507,0.454131925610709,-0.0319686014585793,200,0.437567710876465,0.438632965087891
"216",0.405555463240419,0.793046529349227,-0.181641792719015,700,0.442289113998413,0.44514274597168
"217",1.10994472901611,0.505595904357676,-0.124336301943104,300,0.644075155258179,0.645559310913086
"218",-0.0396611617269296,1.10558116219757,-0.311824488155516,1000,0.479971647262573,0.483971834182739
"219",-0.0268600850943554,0.989850515116974,-0.219988897587325,1000,0.462088823318481,0.467404842376709
"220",0.225385363796369,0.907793839047132,-0.272525089985128,800,0.426486253738403,0.42957067489624
"221",-0.057283627129682,1.03946959922579,-0.248995515696794,1000,0.451058149337769,0.457168102264404
"222",0.654914367102842,0.66152473073922,-0.136902210892489,500,0.436244487762451,0.438427686691284
"223",-0.0253063378316858,0.980972863706951,-0.246549643292674,1000,0.436649084091187,0.442999362945557
"224",0.256455035763476,0.878318207011091,-0.237302701978768,800,0.501393795013428,0.504465103149414
"225",0.0443817034524935,1.04689036442945,-0.314315058965525,1000,0.419526815414429,0.426553964614868
"226",-0.0132605016922385,0.963195766858324,-0.204510670207228,1000,0.428104162216187,0.433123350143433
"227",1.59835222129089,0.399225184309657,0.0253469994287144,100,0.424507856369019,0.425569772720337
"228",0.0427611519519322,0.984616042251577,-0.304241374157164,1000,0.420095205307007,0.425466299057007
"229",0.0227648163548797,1.02942009291605,-0.287454716250656,1000,0.433819532394409,0.440213918685913
"230",-0.0230074661175686,0.936617498851304,-0.198734093594551,1000,0.416712045669556,0.421123504638672
"231",1.65844195384258,0.425486962022499,-0.101981049897203,100,0.417039155960083,0.417803049087524
"232",0.0365481465497131,1.03210188585087,-0.303611396540704,1000,0.458407402038574,0.46543550491333
"233",1.65863353503367,0.612899961293907,-0.401069928736449,100,0.435664176940918,0.437018394470215
"234",0.0169782632327051,0.973857373252522,-0.286176888953832,1000,0.418439388275146,0.422197580337524
"235",0.055662347637299,0.971063277381414,-0.292794312454412,1000,0.406721591949463,0.41057300567627
"236",0.297789012844558,0.797578909743986,-0.208470213955911,800,0.496793985366821,0.50005054473877
"237",-0.00324938826677661,1.04256618559217,-0.291185151368235,1000,0.450958490371704,0.455985546112061
"238",0.0219755466751328,0.97237107689051,-0.23440163074103,1000,0.440182209014893,0.446094751358032
"239",0.00469129390804322,1.01466344951776,-0.273654488389755,1000,0.417763471603394,0.425211668014526
"240",1.60910918561607,0.443231843829178,0.0550575979622341,100,0.441577672958374,0.44225025177002
"241",0.0465687836087004,0.991718469222185,-0.345968211073314,1000,0.537993669509888,0.54181170463562
"242",0.0320041721342939,0.944518012667767,-0.248195479412008,1000,0.417746782302856,0.421379566192627
"243",1.03653195228519,0.523659654208723,-0.109000075534215,300,0.416740894317627,0.418342351913452
"244",0.0280944984546523,0.9881465973466,-0.295703542918553,1000,0.425728321075439,0.429618835449219
