"","thr","quantile","scale","shape","len"
"1",NA,NA,NA,NA,NA
"2",2.15547944135587,0.9,0.816008962372522,-0.0945373018071436,48
"3",NA,NA,NA,NA,NA
"4",1.17533380683362,0.45,0.559823895116695,0.0719202655638427,264
"5",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA
"7",1.02607688388869,0.2,0.543993725255788,-0.0487943619860343,384
"8",NA,NA,NA,NA,NA
"9",1.01829272256682,0.2,0.539344516511343,0.0271117974686324,384
"10",NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA
"12",1.02594077912334,0.2,0.48827938547094,0.0691532226486655,384
"13",1.01349472498013,0.2,0.508886880295892,0.144651416921451,384
"14",1.01711400942844,0.2,0.503002961387546,0.04520869077476,384
"15",NA,NA,NA,NA,NA
"16",1.01942202869924,0.2,0.496585621606559,0.115069289187098,384
"17",1.01674263607942,0.2,0.511884845559467,0.0894646939336824,384
"18",1.01884290022959,0.2,0.475812576118831,0.133675141914094,384
"19",0.959451537544374,0.15,0.612459320929289,-0.0290130146749725,408
"20",1.01928243854915,0.2,0.530078584328911,0.146535057964707,384
"21",NA,NA,NA,NA,NA
"22",1.02299158973424,0.2,0.390321730400838,0.275171410216515,384
"23",NA,NA,NA,NA,NA
"24",1.02402819194838,0.2,0.489484441338869,0.137702288555115,384
"25",1.01999298910355,0.2,0.491857868962627,0.171535393555102,384
"26",1.75601608078361,0.8,0.737609960402056,-0.131159276590263,96
"27",1.02441500141104,0.2,0.571603931436139,0.0808996272528804,384
"28",NA,NA,NA,NA,NA
"29",2.61736089460859,0.95,0.949552928336671,-0.240778875795736,24
"30",1.01629676952257,0.2,0.45091264468319,0.20938752071873,384
"31",1.01268901094357,0.2,0.566901379514469,0.0253917241061234,384
"32",0.967696182738291,0.15,0.492555418840163,0.0724905628362948,408
"33",1.02786870213383,0.2,0.443767957043672,0.22799209530842,384
"34",1.0182225693444,0.2,0.601081902721649,0.0565933841629289,384
"35",NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA
"37",1.01632554388661,0.2,0.446844549270821,0.19336380828088,384
"38",1.39144352529481,0.65,0.569886736653942,0.114326516999125,168
"39",2.09969261411313,0.9,0.775874167559039,-0.25194697633039,48
"40",1.05015262160743,0.25,0.497289902712769,0.148779911529157,360
